time,prey,predator
1.520380095023756084e+01,2.880499901196752699e+00,4.808201445633747184e+00
1.525381345336334071e+01,2.956963342626181213e+00,4.766861228015155660e+00
1.530382595648912236e+01,3.035973793561081102e+00,4.726573660729164850e+00
1.535383845961490401e+01,3.117606252435305425e+00,4.687336106663122060e+00
1.540385096274068566e+01,3.201937308750157030e+00,4.649146201924135191e+00
1.545386346586646731e+01,3.289045106829254550e+00,4.612001856498757490e+00
1.550387596899224896e+01,3.379009292693583522e+00,4.575901257140742473e+00
1.555388847211803061e+01,3.471911002631364873e+00,4.540842868014858702e+00
1.560390097524381225e+01,3.567832791606249110e+00,4.506825431635315127e+00
1.565391347836959390e+01,3.666858559387802252e+00,4.473847968614361292e+00
1.570392598149537378e+01,3.769073446525041504e+00,4.441909780508159322e+00
1.575393848462115542e+01,3.874563802863206341e+00,4.411010450711327024e+00
1.580395098774693707e+01,3.983417090677271677e+00,4.381149844398734672e+00
1.585396349087271872e+01,4.095721761789084425e+00,4.352328106877974889e+00
1.590397599399850037e+01,4.211567093063559142e+00,4.324545666459627569e+00
1.595398849712428202e+01,4.331043125050888953e+00,4.297803235485353923e+00
1.600400100025006367e+01,4.454240532412919507e+00,4.272101809404596828e+00
1.605401350337584532e+01,4.581250443111002824e+00,4.247442663484748415e+00
1.610402600650162697e+01,4.712164200191693908e+00,4.223827355836871078e+00
1.615403850962740862e+01,4.847073265504108441e+00,4.201257728474364406e+00
1.620405101275319026e+01,4.986069047752644146e+00,4.179735905502049320e+00
1.625406351587897191e+01,5.129242656784926524e+00,4.159264288034455248e+00
1.630407601900475356e+01,5.276684577109122642e+00,4.139845557526062869e+00
1.635408852213053166e+01,5.428484533106623822e+00,4.121482676828644998e+00
1.640410102525631331e+01,5.584731270088339805e+00,4.104178887514406071e+00
1.645411352838209496e+01,5.745512236306426601e+00,4.087937702792874717e+00
1.650412603150787660e+01,5.910913159090716462e+00,4.072762911272493014e+00
1.655413853463365825e+01,6.081017861510656708e+00,4.058658578086341784e+00
1.660415103775943990e+01,6.255908009842288564e+00,4.045629041670374626e+00
1.665416354088522155e+01,6.435662708313060421e+00,4.033678904218447769e+00
1.670417604401100320e+01,6.620357989313003344e+00,4.022813035889045707e+00
1.675418854713678485e+01,6.810066549260402446e+00,4.013036576231614028e+00
1.680420105026256650e+01,7.004857512095433059e+00,4.004354931252843031e+00
